928003,"Multnomah","Sellwood Bridge",
172951,"Multnomah","Reynolds Trail Access",
525147,"Clark","I-5 Corridor Trail",
395220,"Washington","Bark Spud Trail",
542959,"Multnomah","Springwater On The Willamette Connector",
463106,"Multnomah County","Harbor Dr - Grant Connector",
405551,"Multnomah","Brookside Wetland Trail",
162360,"Clackamas","Old River Drive",
938164,"Multnomah","NE 17th Ave - NE Thompson St Connector",
948742,"Clark","Lower River Road Trail",
343853,"Washington","Anton - 121st Connector",
551259,"Multnomah","SW 42nd Ave - SW Primrose St Connector",
252213,"Washington","74th Ave Path",
494500,"Multnomah","Raz-Baack Crossing",
135228,"Washington","Wayside Trail",
461090,"Multnomah","Richards St - Johnswood Dr",
348603,"Clackamas","Cornell St Path",
912932,"Washington","Durham Rd Path",
554850,"Multnomah","Bryn Mawr Way Connector",
752650,"Clark","Larch Mountain",
391026,"Multnomah","N. Going St. - Greeley Ave East Side Connector",
189011,"Multnomah","Capitol Hwy Path",
471825,"Clackamas","Elmran Drive Path",
926403,"Clark","Siouxon Trail",
859217,"Multnomah","SW Arthur St - Natio Pkwy Frontage Connector",
981396,"Multnomah","I-205 Bikepath Access",
341594,"Multnomah","NE Alderwood Rd",
926090,"Clackamas","Campbell Elementary School Path",
187227,"Multnomah","Glendoveer Golf Course Trails",
523258,"Clackamas","Ice Age Tonquin Trail",
745922,"Clackamas","Kincade Curlicue Corridor",
356670,"Clackamas","Huckleberry Trail",
972605,"Clackamas","Clackamas River Access",
126044,"Multnomah","Upper Latourell Falls Trail",
989292,"Clackamas","Rivermill Horse Trail",
562236,"Clackamas","Nature Trail",
359168,"Multnomah","Fir Trail",
523489,"Clackamas","Tickle Creek Trail Entrance",
527327,"Washington","SW 133rd Ave - SW 130th Ave Connector",
567328,"Clackamas","William Stafford Pathway",
615442,"Multnomah","Creston Loop",
694487,"Multnomah","Maple Ridge Trail",
531739,"Multnomah","Oak Trail",
453722,"Washington","Durham City Park Trail",
808366,"Washington","SW Stono Dr - SW Norwook Rd Connector",
990462,"Multnomah","Old Cornell",
110595,"Multnomah","Beech Trail",
193683,"Clackamas","Foothills Park Trail",
600729,"Multnomah","Floodplain Trail",
692370,"Clackamas","Lake Oswego to West Linn Trail",
885244,"Multnomah","Alderwood Trail",
336452,"Clackamas","Old Table Rock Jeep Rd Trail",
780866,"Multnomah","Sunshine Valley Trail",
774639,"Clackamas","Fielding Rd",
187258,"Clackamas","Arrowhead Trail",
787221,"Clackamas","Hide And Seek Trail",
154348,"Multnomah","Goldfinch Trail",
766741,"Multnomah","SE Paloma Ave - SE Greenway Dr - SE Wendy Ln Connector",
321311,"Washington","Sherwood Open Space Trails - Connector",
630186,"Clackamas","Steven Meadows Trail",
886364,"Washington","Hwy 47 Trail - Connector",
151473,"Multnomah","St. Helens Road",
419030,"Multnomah","Pipeline Trail",
910770,"Washington","Hillsboro to Banks Trail",
974786,"Multnomah","Sunrise Park - Connector",
333146,"Multnomah","Hawthorne Bridge - Connector",
113496,"Clackamas","Stafford Trail",
511381,"Clackamas","Lake Oswego to Tualatin Trail",
917989,"Washington","Hedges Creek Trail",
562555,"Washington","1st Street Pedestrian Path",
928417,"Multnomah","N Columbia Blvd - N Columbia Ct Connector",
864045,"Washington","Banks-Vernonia Trail",
607419,"Clackamas","Scouters Mountain Trail",
986589,"Multnomah","SW Montgomery St.",
206373,"Multnomah","Lents Recreational Loop Trail",
199393,"Multnomah","Wildhorse Trail",
179474,"Multnomah","SW 257th Ave - SW Hewitt Pl Connector",
482420,"Clackamas","Rimrock Trail #704",
120087,"Clackamas","Oregon Trail Elementary School Trails - Connector",
459948,"Clackamas","Salamo Rd - Noble Ln Connector",
673767,"Washington","Centennial Trail",
226840,"Clackamas","I-205 Bikepath - Connector",
